Name,X,Y,POP,NMV,SUM
Radovlja,45.89663,15.23657,182,210,10
Vucja Gomila,46.70194,16.28676,289,210,10
Muretinci,46.38528,15.99444,487,210,10
Puzevci,46.7125,16.08611,181,210,13
Podgrad,46.68167,15.97222,160,210,16
Stojnci,46.38111,15.98278,869,210,20
Dolane,46.36518,15.99935,159,210,32
Sela pri Sentjerneju,45.82738,15.35164,94,211,2
Krvavcji Vrh,45.65806,15.25972,85,211,4
Hudi Log,45.84139,13.60917,22,211,20
Globocice pri Kostanjevici,45.84142,15.43147,105,212,3
Godeninci,46.42472,16.26639,151,212,4
Cunkovci,46.41273,15.97905,85,212,5
Strukovci,46.71667,16.07028,164,212,6
Podgradje,46.50441,16.21251,267,212,6
Loncarjev Dol,46.01577,15.34472,220,212,9
Sela pri Dolenjskih Toplicah,45.75046,15.04594,251,212,22
Lutverci,46.68333,15.95,342,213,2
Gorica,46.705,16.145,295,213,3
Veliki Dol,45.77028,13.75194,123,213,5
Lokvica,45.86056,13.60278,75,213,6
Moskanjci,46.42028,15.99333,688,213,7
Drakovci,46.53332,16.03508,248,213,9
Idrsko,46.23244,13.59193,325,213,15
Venise,45.93333,15.46667,250,213,28
Otocec,45.83967,15.22528,776,213,28
Stojanski Vrh,45.85624,15.54026,58,214,2
Libanja,46.43703,16.172,80,214,2
Bedenj,45.5398,15.27431,62,214,3
Zamenci,46.44057,15.9759,72,214,4
Gornje Pijavsko,45.98333,15.41667,92,214,6
Smartno,46.00422,13.55052,199,214,14
Semic,45.64611,15.18222,2000,214,23
Petelinjek,45.81534,15.21802,217,214,30
Mele,46.66194,16.02083,168,214,40
Gornja Radgona,46.67333,15.99222,3159,214,41
Sevno,45.83399,15.18881,75,214,108
Boraceva,46.64444,16.02417,418,215,1
Smarje,45.82775,15.34275,118,215,2
Sobetinci,46.40416,15.96748,163,215,2
Vonarje,46.17912,15.6185,80,215,3
Cankova,46.72083,16.0225,446,215,7
Bukovci,46.38722,15.965,973,215,12
Dramlja,45.98007,15.68103,69,216,2
Segovci,46.69306,15.92389,305,216,2
Zagojici,46.40306,15.98111,189,216,3
Gornji Ivanjci,46.60669,15.96391,75,216,4
Strelci,46.41349,15.96713,104,216,4
Spodnji Leskovec,46.33528,15.94167,112,216,4
Vodranci,46.43154,16.25531,132,216,4
Dolenje Gradisce,45.76971,15.0538,28,216,18
Oskorsnica,45.65789,15.20719,70,217,3
Lendavske Gorice,46.56209,16.4673,648,217,5
Gabrje,46.20171,13.69901,102,217,6
