stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
2211300004201,"Slovenska Bistrica ZD","",46.3945935125589,15.5643705978158,,
2211300003801,"Grad","",46.3928708257506,15.5705521802377,,
2211300003802,"Grad","",46.3931225835899,15.5703721207579,,
2211300004202,"Slovenska Bistrica ZD","",46.3949759312617,15.5632938259823,,
2211300003901,"Impol","",46.3969511567563,15.5552509574967,,
2211300003701,"Slovenska Bistrica GD","",46.3962305295976,15.5493829047224,,
2211300001001,"Jožef pri Slovenski Bistrici","",46.3970291475142,15.5827857320433,,
2211300001302,"Klopce","",46.4089976269313,15.598996407778,,
2211300002802,"Pokoše","",46.4149877905839,15.6012407348537,,
2211300006902,"Zgornja Polskava","",46.4259851793689,15.6101044328083,,
2211300007101,"Zgornja Polskava Š","",46.4259784884398,15.6253885990963,,
2211300003402,"Sele pri Polskavi Kapela","",46.4205449371779,15.6321865552767,,
